id,t,w_l,w_r
e,162.592830896378,6.05693519079346,5.39067231980618
e,162.88930273056,6.05693519079346,4.7244094488189
e,163.197137594223,6.05693519079346,6.05693519079346
e,163.791682958603,6.05693519079346,6.05693519079346
e,165.089470624924,6.05693519079346,6.05693519079346
e,165.595721483231,5.69351907934585,6.05693519079346
e,165.694658279419,5.69351907934585,6.05693519079346
e,166.189307689667,5.57238037552998,5.57238037552998
e,166.397946357727,5.87522713506965,6.05693519079346
e,166.893671274185,5.81465778316172,6.05693519079346
e,167.091390132904,5.81465778316172,6.05693519079346
e,167.69672369957,6.05693519079346,6.05693519079346
e,168.191480398178,5.57238037552998,5.57238037552998
e,169.489364624023,0,0
e,169.797379970551,0,0
e,171.392465353012,0,0
e,171.491530656815,0,0
e,171.997888803482,0,0
e,172.294663906097,0,0
e,172.393690824509,0,0
e,173.19664144516,2.11992731677771,2.11992731677771
e,174.296377420425,4.54270139309509,-4.48213204118716
e,174.593660831451,4.48213204118716,-4.48213204118716
e,175.199129581451,6.05693519079346,2.05935796486978
e,175.297847747803,6.05693519079346,4.60327074500303
e,175.396659612656,6.05693519079346,6.05693519079346
e,175.594824790955,6.05693519079346,6.05693519079346
e,176.397783041,6.05693519079346,6.05693519079346
e,177.090663671494,6.05693519079346,6.05693519079346
e,178.597652435303,6.05693519079346,6.05693519079346
e,179.598999500275,6.05693519079346,6.05693519079346
e,181.897879362106,6.05693519079346,4.60327074500303
e,182.19463968277,6.05693519079346,6.05693519079346
e,184.295990943909,6.05693519079346,6.05693519079346
e,187.199999809265,6.05693519079346,6.05693519079346
e,188.992996692657,6.05693519079346,6.05693519079346
e,189.99352812767,6.05693519079346,6.05693519079346
e,191.29215502739,6.05693519079346,6.05693519079346
e,191.996574401855,6.05693519079346,6.05693519079346
e,192.292979240417,6.05693519079346,6.05693519079346
e,192.491017341614,6.05693519079346,6.05693519079346
e,193.19460439682,6.05693519079346,5.14839491217444
e,193.392504453659,6.05693519079346,6.05693519079346
e,194.393486261368,6.05693519079346,6.05693519079346
e,194.690424442291,6.05693519079346,6.05693519079346
e,197.792408466339,6.05693519079346,6.05693519079346
e,200.09149312973,6.05693519079346,6.05693519079346
e,200.191340923309,6.05693519079346,6.05693519079346
e,200.498896837234,6.05693519079346,6.05693519079346
e,201.499993801117,6.05693519079346,6.05693519079346
e,201.895874500275,6.05693519079346,6.05693519079346
e,202.600018501282,6.05693519079346,6.05693519079346
e,206.494160890579,6.05693519079346,6.05693519079346
e,207.593598365784,6.05693519079346,6.05693519079346
e,209.694608926773,0,0
e,210.09051156044,0,0
e,212.29144859314,0,0
e,213.490333795547,0,0
e,215.095652580261,2.96789824348879,-0.423985463355542
e,215.491504669189,1.51423379769836,-0.847970926711084
e,216.691468238831,2.18049666868564,-0.726832222895215
e,217.097788095474,1.3930950938825,0
e,217.493657827377,4.05814657783162,1.02967898243489
e,219.693680047989,5.87522713506965,2.72562083585706
e,220.299612522125,6.05693519079346,6.05693519079346
e,220.398089885712,6.05693519079346,6.05693519079346
e,220.893085479736,6.05693519079346,6.05693519079346
e,222.289582252502,5.45124167171411,5.45124167171411
e,222.894588470459,6.05693519079346,6.05693519079346
e,224.094671010971,6.05693519079346,6.05693519079346
e,224.699210882187,6.05693519079346,6.05693519079346
e,226.194986581802,6.05693519079346,6.05693519079346
e,226.799920558929,5.57238037552998,5.57238037552998
e,227.393743991852,1.15081768625076,4.42156268927922
e,229.000221729279,6.05693519079346,6.05693519079346
e,229.197795152664,6.05693519079346,4.42156268927922
e,230.892001390457,0.726832222895215,0.726832222895215
e,232.1904733181,1.27195639006663,1.27195639006663
e,234.390292882919,0,0
e,235.292149305344,0,0
e,236.095504760742,0,0
e,236.392611980438,0,0
e,237.998000860214,0,0
e,238.394528865814,0,0
e,238.592532396317,0,0
e,239.097895145416,0,0
e,239.999858617783,0,0
e,240.099071264267,0,0
e,240.197932243347,0,0
